JOB IDS,file_name,page_num,Lob,policy_type,sub_element_name,prompt_name,prompt_output,
1006aut202508011051167,1006aut202508011051167_aut_ct00.pdf,5,Business Auto,AR,deductible,deductible_with_coverage.yaml,1006aut202508011051167_aut_ct00-5.json,
1006pkg202508010439038,1006pkg202508010439038_pkg_ct00.pdf,27,Package,AR,deductible,deductible_with_coverage.yaml,1006pkg202508010439038_pkg_ct00-27.json,
1006pkg202508010439038,1006pkg202508010439038_pkg_ct00.pdf,68,Package,AR,deductible,deductible_with_coverage.yaml,1006pkg202508010439038_pkg_ct00-68.json,
1006umb202508010447525,1006umb202508010447525_umb_ct00.pdf,3,Umbrella,AR,deductible,deductible_with_coverage.yaml,1006umb202508010447525_umb_ct00-3.json,
1010crm202508010454118004,1010crm202508010454118004_CT.pdf,38,Crime,MSD,deductible,deductible_with_coverage.yaml,1010crm202508010454118004_CT-38.json,
1010crm202508010454118004,1010crm202508010454118004_CT.pdf,57,Crime,MSD,deductible,deductible_with_coverage.yaml,1010crm202508010454118004_CT-57.json,
1010fid202508010454118001,1010fid202508010454118001_fid_ct00.pdf,4,Fiduciary Liability,MSD,deductible,deductible_with_coverage.yaml,1010fid202508010454118001_fid_ct00-4.json,
1018cbl202508010527771,1018cbl202508010527771_cbl_ct00.pdf,4,Cyber Liability,SSD,deductible,subdeductible_with_coverage.yaml,1018cbl202508010527771_cbl_ct00-4.json,
1018mpl202508010622812,1018mpl202508010622812_mpl_ct00.pdf,3,Medical Professional Liability,MSD,deductible,deductible_with_coverage.yaml,1018mpl202508010622812_mpl_ct00-3.json,
1018oce202508010442127,1018oce202508010442127_oce_ct00.pdf,6,Ocean Cargo,SSD,deductible,deductible_with_coverage.yaml,1018oce202508010442127_oce_ct00-6.json,
1018oce202508010442127,1018oce202508010442127_oce_ct00.pdf,12,Ocean Cargo,SSD,deductible,deductible_with_coverage.yaml,1018oce202508010442127_oce_ct00-12.json,
1090boi202507311215013005,1090boi202507311215013005_CT.pdf,19,Boiler & Machinery,MSD,deductible,deductible_with_coverage.yaml,1090boi202507311215013005_CT-19.json,
1090cbl202507312106066004,1090cbl202507312106066004_CT.pdf,3,Cyber Liability,MSD,deductible,deductible_with_coverage.yaml,1090cbl202507312106066004_CT-3.json,
1090cbl202507312106066004,1090cbl202507312106066004_CT.pdf,4,Cyber Liability,MSD,deductible,deductible_with_coverage.yaml,1090cbl202507312106066004_CT-4.json,
1090cgl202508010203100007,1090cgl202508010203100007_cgl_ct00.pdf,26,General Liability,AR,deductible,deductible_with_coverage.yaml,1090cgl202508010203100007_cgl_ct00-26.json,
1090cgl202508010203100007,1090cgl202508010203100007_cgl_ct00.pdf,35,General Liability,AR,deductible,subdeductible_with_coverage.yaml,1090cgl202508010203100007_cgl_ct00-35.json,
1090dic202508012112221002,1090dic202508012112221002_dic_ct00.pdf,5,Directors and Officers,SSD,deductible,deductible_with_coverage.yaml,1090dic202508012112221002_dic_ct00-5.json,
1090mgt202508012103220007,1090mgt202508012103220007_mgt_ct00.pdf,2,Management Liability,SSD,deductible,deductible_with_coverage.yaml,1090mgt202508012103220007_mgt_ct00-2.json,
1090mgt202508012103220007,1090mgt202508012103220007_mgt_ct00.pdf,3,Management Liability,SSD,deductible,deductible_with_coverage.yaml,1090mgt202508012103220007_mgt_ct00-3.json,
1094exg202508011823838,1094exg202508011823838_exg_ct00.pdf,19,Excess General Liability,AR,deductible,deductible_with_coverage.yaml,1094exg202508011823838_exg_ct00-19.json,
1099cbl202507310954888,1099cbl202507310954888_CT.pdf,19,Cyber Liability,MSD,deductible,deductible_with_coverage.yaml,1099cbl202507310954888_CT-19.json,
1099sur202508010716804,1099sur202508010716804_CT.pdf,11,Surety Bond,SSD,deductible,deductible_with_coverage.yaml,1099sur202508010716804_CT-11.json,
1099sur202508010716804,1099sur202508010716804_CT.pdf,12,Surety Bond,SSD,deductible,deductible_with_coverage.yaml,1099sur202508010716804_CT-12.json,
1121ter202508010103092003,1121ter202508010103092003_ter_ct00.pdf,16,Terrorism,SSD,deductible,deductible_with_coverage.yaml,1121ter202508010103092003_ter_ct00-16.json,
1134pkg202507312347085004,1134pkg202507312347085004_pkg_ct00.pdf,2,Package,AR,deductible,deductible_with_coverage.yaml,1134pkg202507312347085004_pkg_ct00-2.json,
1134pkg202507312347085004,1134pkg202507312347085004_pkg_ct00.pdf,3,Package,AR,deductible,deductible_with_coverage.yaml,1134pkg202507312347085004_pkg_ct00-3.json,
